GoalProbability,WeightedExpectedGoals,Count,WeightedCount
0.43,0.00636363636363636,106,2.903
0.33,0.00454545454545455,336,7.319
0.41,0.00545454545454545,48,1.324
0.44,0.00636363636363636,45,1.454
0.33,0.00545454545454545,253,7.247
0.4,0.00636363636363636,69,2.587
0.41,0.00636363636363636,109,3.654
0.32,0.00363636363636364,254,5.636
0.19,0.00636363636363636,1690,34.393
0.33,0.00727272727272727,162,3.643
0.36,0.00909090909090909,54,2.538
0.34,0.01,24,1.906
0.27,0.00727272727272727,175,9.005
0.37,0.00909090909090909,110,4.806
0.25,0.00636363636363636,300,8.419
0.34,0.00818181818181818,148,4.108
0.36,0.00636363636363636,154,5.407
0.35,0.00818181818181818,92,4.594
0.39,0.0118181818181818,129,4.008
0.39,0.0127272727272727,22,2.113
0.36,0.01,70,3.609
0.35,0.01,66,3.722
0.4,0.00727272727272727,73,3.096
0.41,0.0118181818181818,9,0.933
0.39,0.00909090909090909,126,6.116
0.34,0.00363636363636364,197,3.394
0.4,0.00818181818181818,41,2.772
0.35,0.00727272727272727,207,6.033
0.41,0.0109090909090909,45,2.594
0.42,0.0118181818181818,19,1.783
0.43,0.0118181818181818,63,3.495
0.41,0.00727272727272727,129,5.927
0.43,0.0109090909090909,27,1.647
0.43,0.00818181818181818,8,0.611
0.44,0.00818181818181818,99,3.646
0.45,0.00636363636363636,80,2.873
0.43,0.01,74,3.033
0.34,0.00727272727272727,126,4.223
0.42,0.00636363636363636,14,0.533
0.41,0.00909090909090909,75,2.908
0.28,0.00636363636363636,372,13.631
0.45,0.01,24,1.482
0.45,0.00818181818181818,42,1.774
0.39,0.0109090909090909,34,1.873
0.43,0.0127272727272727,16,0.941
0.34,0.00909090909090909,140,5.343
0.44,0.00909090909090909,44,2.028
0.38,0.00909090909090909,44,3.192
0.42,0.0109090909090909,51,2.559
0.34,0.00545454545454545,149,4.859
0.01,0.00454545454545455,85046,3496.713
0,0.00272727272727273,38297,1797.158
0.02,0.00636363636363636,75094,2876.334
0.05,0.00909090909090909,19994,622.302
0.04,0.00818181818181818,31608,1098.998
0.02,0.00545454545454545,99264,3509.233
0.04,0.00727272727272727,41801,1397.575
0.32,0.01,96,2.029
0.29,0.0109090909090909,134,7.21
0.28,0.0109090909090909,450,9.997
0.33,0.01,159,5.01
0.32,0.00636363636363636,221,5.407
0.37,0.0127272727272727,113,3.306
0.35,0.0136363636363636,65,5.058
0.31,0.0109090909090909,29,2.258
0.38,0.0127272727272727,118,4.314
0.35,0.00909090909090909,88,5.198
0.28,0.00727272727272727,232,7.736
0.36,0.00818181818181818,132,4.501
0.38,0.00818181818181818,68,3.608
0.37,0.00727272727272727,91,3.247
0.4,0.0118181818181818,46,2.881
0.4,0.0127272727272727,66,4.062
0.43,0.00909090909090909,44,2.108
0.45,0.00727272727272727,62,2.205
0.38,0.01,54,2.673
0.33,0.00818181818181818,219,4.203
0.41,0.01,15,0.777
0.4,0.01,28,1.633
0.44,0.0118181818181818,14,0.87
0.45,0.00909090909090909,31,1.341
0.43,0.0145454545454545,15,1.078
0.32,0.0109090909090909,85,2.172
0.44,0.0109090909090909,78,3.295
0.36,0.00727272727272727,42,1.983
0.37,0.00545454545454545,100,3.04
0.42,0.01,64,2.357
0.37,0.0109090909090909,27,1.938
0.41,0.0127272727272727,15,0.974
0.03,0.00727272727272727,59330,2037.864
0.05,0.0109090909090909,12291,426.493
0.03,0.01,29199,1124.816
0.02,0.00727272727272727,55697,2230.377
0.08,0.0136363636363636,6058,226.158
0.06,0.0127272727272727,6862,230.678
0.1,0.0136363636363636,3427,106.003
0.07,0.0118181818181818,9213,280.69
0.5,0,1581,5.402
0.06,0.0118181818181818,8374,278.239
0.03,0.00818181818181818,48429,1764.424
0.06,0.0109090909090909,10894,348.496
0.25,0.00818181818181818,192,6.434
0.35,0.00636363636363636,44,1.788
0.42,0.00909090909090909,62,2.853
0.37,0.00818181818181818,32,1.444
0.39,0.01,55,2.445
0.07,0.0109090909090909,9930,328.262
0.5,0.00181818181818182,265,6.328
0.5,0.000909090909090909,471,7.158
0.51,0,2050,5.439
0.03,0.00909090909090909,38016,1446.461
0.06,0.0136363636363636,4971,171.81
0.05,0.0118181818181818,9367,357.56
0.1,0.0163636363636364,1577,55.241
